,Playing.for,First.name,Surname,ID,Name
4168,Essendon,Mason,Redman,12437,Mason Redman
4169,Essendon,Mark,Jamar,1425,Mark Jamar
4170,Essendon,Sam,Michael,12192,Sam Michael
4171,Essendon,Aaron,Francis,12467,Aaron Francis
4172,Essendon,Jake,Long,12479,Jake Long
4173,Essendon,Josh,Green,11960,Josh Green
4174,Essendon,Andrew,McGrath,12491,Andrew McGrath
4175,Fitzroy,Lou,Barker,4758,Lou Barker
4176,Fitzroy,Gerald,Brosnan,4759,Gerald Brosnan
4177,Fitzroy,Arch,Middleton,4264,Arch Middleton
4178,Fitzroy,Joe,Grace,4760,Joe Grace
4179,Fitzroy,Dave,McGrath,4761,Dave McGrath
4180,Fitzroy,Gordon,Ross,4762,Gordon Ross
4181,Fitzroy,Bertie,Loel,4859,Bertie Loel
4182,Fitzroy,Jim,Paternoster,4860,Jim Paternoster
4183,Fitzroy,Matt,Paternoster,4861,Matt Paternoster
4184,Fitzroy,Jim,Sharp,4862,Jim Sharp
4185,Fitzroy,Percy,Trotter,4864,Percy Trotter
4186,Fitzroy,Alf,Bartlett,4857,Alf Bartlett
4187,Fitzroy,Bob,Smith,4863,Bob Smith
4188,Fitzroy,Alf,Wilkinson,4865,Alf Wilkinson
4189,Fitzroy,Frank,Hince,4858,Frank Hince
4190,Fitzroy,Frank,Brophy,4957,Frank Brophy
4191,Fitzroy,George,Hutchinson,4960,George Hutchinson
4192,Fitzroy,Henry,Alder,4954,Henry Alder
4193,Fitzroy,Charlie,Naismith,4965,Charlie Naismith
4194,Fitzroy,Wally,Naismith,4966,Wally Naismith
4195,Fitzroy,Mark,Shea,4967,Mark Shea
4196,Fitzroy,George,Kruse,4961,George Kruse
4197,Fitzroy,Bill,McCarthy,4962,Bill McCarthy
4198,Fitzroy,Arthur,Gilligan,4958,Arthur Gilligan
4199,Fitzroy,Sam,Baker,4955,Sam Baker
4200,Fitzroy,Teddy,Best,4956,Teddy Best
4201,Fitzroy,Herbert,Milne,4964,Herbert Milne
4202,Fitzroy,Jack,Trehey,4968,Jack Trehey
4203,Fitzroy,Fred,Howard,4959,Fred Howard
4204,Fitzroy,Alby,McDonald,4963,Alby McDonald
4205,Fitzroy,Bill,Griffiths,5133,Bill Griffiths
4206,Fitzroy,Charlie,Martin,5068,Charlie Martin
4207,Fitzroy,Bill,Walker,5071,Bill Walker
4208,Fitzroy,Les,Millis,5069,Les Millis
4209,Fitzroy,Alf,Sharp,5070,Alf Sharp
4210,Fitzroy,Joe,Johnson,5154,Joe Johnson
4211,Fitzroy,Edgar,Kneen,5156,Edgar Kneen
4212,Fitzroy,Percy,Sheehan,5160,Percy Sheehan
4213,Fitzroy,Bill,Kelly,5155,Bill Kelly
4214,Fitzroy,Paddy,Shea,5159,Paddy Shea
4215,Fitzroy,Hedley,Tomkins,5161,Hedley Tomkins
